122: g0-s1, g1-s0, y0-s2, y1-s1, b0-s3->s2, b1-s2, 
123: g0-s1->s0, g1-s0->s3, y0-s2, y1-s1, b0-s3->s2, b1-s2->s0, 
124: g0-s0, g1-s0->s3, y0-s2, y1-s1->s2, b0-s2, b1-s2->s0, 
125: g0-s0, g1-s0->s3, y0-s2, y1-s1->s2, b0-s2, b1-s0, 
126: g0-s0->s3, g1-s3, y0-s2, y1-s1->s2, b0-s2, b1-s0, 
127: g0-s0->s3, g1-s3, y0-s2, y1-s1->s2, b0-s2, b1-s0, 
128: g0-s0->s3, g1-s3, y0-s2->s1, y1-s2, b0-s2, b1-s0, 
129: g0-s3, g1-s3, y0-s2->s1, y1-s2, b0-s2, b1-s0->s2, 
130: g0-s3, g1-s3, y0-s2->s1, y1-s2, b0-s2, b1-s0->s2, 
131: g0-s3, g1-s3, y0-s2->s1, y1-s2, b0-s2, b1-s2, 
132: g0-s3, g1-s3, y0-s1, y1-s2, b0-s2, b1-s2, 
133: g0-s3, g1-s3->s0, y0-s1->s3, y1-s2, b0-s2->s0, b1-s2, 
134: g0-s3, g1-s3->s0, y0-s3, y1-s2, b0-s2->s0, b1-s2, 
135: g0-s3, g1-s3->s0, y0-s3, y1-s2, b0-s0, b1-s2, 
136: g0-s3, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2, 
137: g0-s3, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2, 
138: g0-s3, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2, 
139: g0-s3, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2, 
140: g0-s3, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2, 
141: g0-s3, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2, 
142: g0-s3, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2, 
143: g0-s3->s0, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2->s3, 
144: g0-s3->s0, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2->s3, 
145: g0-s3->s0, g1-s0->s1, y0-s3, y1-s2->s1, b0-s0, b1-s3, 
146: g0-s0, g1-s1, y0-s3->s1, y1-s2->s1, b0-s0, b1-s3, 
147: g0-s0, g1-s1, y0-s1, y1-s2->s1, b0-s0->s2, b1-s3, 
148: g0-s0, g1-s1, y0-s1, y1-s2->s1, b0-s0->s2, b1-s3, 
149: g0-s0, g1-s1, y0-s1, y1-s1, b0-s2, b1-s3, 
150: g0-s0, g1-s1, y0-s1, y1-s1, b0-s2, b1-s3, 
151: g0-s0, g1-s1, y0-s1, y1-s1, b0-s2, b1-s3, 
152: g0-s0, g1-s1, y0-s1->s2, y1-s1, b0-s2, b1-s3, 
153: g0-s0, g1-s1, y0-s1->s2, y1-s1, b0-s2, b1-s3->s2, 
154: g0-s0, g1-s1->s0, y0-s1->s2, y1-s1, b0-s2->s3, b1-s3->s2, 
