0: y1-s5, y0-s6, g0-s7, g1-s0, y3-s5, y2-s6, g2-s7, g3-s0, y5-s5, y4-s6, g4-s7, g5-s0, y7-s5, y6-s6, g6-s7, g7-s0, y9-s5, y8-s6, g8-s7, g9-s0, b1-s5, b0-s0, b3-s5, b2-s0, b5-s5, b4-s0, b7-s5, b6-s0, b9-s5, b8-s0, 
205: b3-s0->s1, g4-s2->s1, y8-s2->s4, b4-s3->s5, b2-s5->s3, b5-s0, y6-s4, g6-s2, y4-s4, g8-s2, y0-s2, g1-s2, g3-s2, y2-s2, g9-s1, g5-s1, b0-s3, y1-s1, y7-s1, b8-s1, y3-s1, b7-s1, b1-s1, g0-s1, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b6-s1->s3, 
206: y8-s2->s4, g9-s1, g5-s1, y1-s1, y7-s1, b8-s1, y3-s1, b7-s1, b1-s1, g0-s1, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b0-s3->s1, b5-s0, b3-s0->s1, b6-s1->s3, b4-s3->s5, g4-s2->s1, b2-s5->s3, y6-s4, g6-s2, y4-s4, g8-s2, y0-s2, g1-s2, g3-s2, y2-s2, 
207: b5-s0, y8-s2->s4, b0-s3->s1, b4-s3->s5, g9-s1, b3-s0->s1, b6-s1->s3, g4-s2->s1, g5-s1, g6-s2, y1-s1, g8-s2, y7-s1, y0-s2, b8-s1, g1-s2, y3-s1, g3-s2, b7-s1, y2-s2, b1-s1, g0-s1, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b2-s5->s3, y6-s4, y4-s4, 
208: g4-s2->s1, b4-s3->s5, b2-s5->s3, g6-s2, g8-s2, y0-s2, g1-s2, g3-s2, y2-s2, b0-s3->s1, y6-s4->s6, g5-s1, y4-s4, g9-s1->s0, b6-s1->s3, y1-s1, y8-s4, y7-s1, b8-s1, y3-s1, b7-s1, b1-s1, g0-s1, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s0, 
209: y4-s4, b5-s0->s1, g9-s1->s0, b6-s1->s3, g4-s2->s1, b0-s3->s1, b4-s3->s5, y6-s4->s6, b2-s5->s3, g5-s1, y8-s4, g6-s2, y1-s1, g8-s2, y7-s1, y0-s2, b8-s1, g1-s2, y3-s1, g3-s2, b7-s1, y2-s2, b1-s1, g0-s1, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, 
210: b6-s3, y4-s4, b5-s0->s1, g9-s1->s0, g4-s2->s1, b0-s3->s1, b4-s3->s5, y6-s4->s6, b2-s5->s3, g5-s1, y8-s4, g6-s2, y1-s1, g8-s2, y7-s1, y0-s2, b8-s1, g1-s2, y3-s1, g3-s2, b7-s1, y2-s2, b1-s1, g0-s1, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, 
211: b6-s3, b5-s0->s1, g5-s1->s2, b4-s3->s5, g9-s0, b0-s3->s1, y1-s1, y8-s4, g4-s2->s1, y4-s4->s2, y6-s4->s6, b2-s5->s3, y7-s1, g6-s2, b8-s1, g8-s2, y3-s1, y0-s2, b7-s1, g1-s2, b1-s1, g3-s2, g0-s1, y2-s2, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, 
212: y6-s4->s6, g9-s0, b4-s5, y1-s1, b6-s3, y8-s4, g5-s1->s2, g6-s2->s1, y4-s4->s2, b2-s5->s3, y7-s1, g8-s2, b8-s1, y0-s2, y3-s1, g1-s2, b7-s1, g3-s2, b1-s1, y2-s2, g0-s1, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, 
213: y8-s4, b4-s5, g9-s0->s1, g5-s1->s2, g6-s2->s1, b6-s3->s5, y6-s4->s6, b2-s5->s3, y1-s1, g8-s2, y7-s1, y0-s2, b8-s1, g1-s2, y3-s1, g3-s2, b7-s1, y2-s2, b1-s1, g0-s1, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, y4-s4->s2, 
214: b2-s3, g9-s0->s1, g5-s1->s2, b6-s3->s5, y4-s4->s2, y6-s4->s6, y7-s1, y1-s1, y8-s4, b8-s1, y3-s1, b7-s1, b1-s1, g0-s1, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, b4-s5, g6-s2->s1, g8-s2, y0-s2, g1-s2, g3-s2, y2-s2, 
215: y6-s4->s6, b2-s3, g9-s0->s1, y8-s4, g6-s2->s1, g8-s2, b6-s3->s5, y0-s2, g1-s2, g3-s2, y2-s2, b4-s5, y4-s2, g5-s1->s2, y1-s1, y7-s1, b8-s1, y3-s1, b7-s1, b1-s1, g0-s1, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, 
216: b6-s3->s5, b4-s5, y6-s4->s6, b8-s1, y4-s2, g5-s1->s2, y7-s1->s5, g6-s2->s1, b2-s3->s1, y8-s4, y3-s1, y1-s1, g8-s2, b7-s1, y0-s2, b1-s1, g1-s2, g0-s1, g3-s2, g7-s1, y2-s2, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, 
217: b2-s3->s1, b8-s1->s3, y7-s1->s5, g6-s2->s1, b6-s3->s5, y6-s4->s6, y3-s1, g8-s2, y8-s4, b7-s1, y0-s2, b1-s1, g1-s2, g0-s1, g3-s2, g7-s1, y2-s2, g2-s1, y4-s2, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, b4-s5, g5-s1->s2, y1-s1, 
218: b8-s1->s3, g6-s2->s1, b2-s3->s1, b6-s3->s5, y6-s4->s6, y3-s1, b4-s5, g5-s1->s2, g8-s2, y8-s4, b7-s1, y7-s5, y1-s1, y0-s2, b1-s1, g1-s2, g0-s1, g3-s2, g7-s1, y2-s2, g2-s1, y4-s2, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, 
219: g5-s2, b4-s5, y6-s6, y1-s1->s2, b2-s3->s1, b6-s3->s5, y8-s4->s6, y3-s1, y7-s5, b7-s1, b1-s1, g0-s1, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s2->s1, b8-s1->s3, g8-s2, y0-s2, g1-s2, g3-s2, y2-s2, y4-s2, 
220: b2-s3->s1, b6-s3->s5, y8-s4->s6, y3-s1, g5-s2, y7-s5, y6-s6, y1-s1->s2, b8-s1->s3, g8-s2->s1, b7-s1, y0-s2, b1-s1, g1-s2, g0-s1, g3-s2, g7-s1, y2-s2, g2-s1, y4-s2, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b4-s5->s3, 
221: y7-s5, y6-s6, y1-s1->s2, b8-s1->s3, g8-s2->s1, g5-s2->s7, b2-s3->s1, y8-s4->s6, b4-s5->s3, b7-s1, y3-s1, y0-s2, b1-s1, g1-s2, g0-s1, g3-s2, g7-s1, y2-s2, g2-s1, y4-s2, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b6-s3->s5, 
222: y1-s1->s2, g8-s2->s1, b4-s5->s3, b7-s1, y3-s1, y0-s2, b1-s1, g1-s2, g0-s1, g3-s2, g7-s1, y2-s2, g2-s1, y4-s2, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s5, b6-s5, y6-s6, b8-s1->s3, g5-s2->s7, y8-s4->s6, 
223: y6-s6->s4, b8-s3, y7-s5, y1-s1->s2, y8-s4->s6, b6-s5, y3-s1, b7-s1, g8-s2->s1, b4-s5->s3, b1-s1, y0-s2, g0-s1, g1-s2, g7-s1, g3-s2, g2-s1, y2-s2, b9-s1, y4-s2, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, g5-s2->s7, 
224: b8-s3->s5, y8-s4->s6, b6-s5, y7-s5->s1, b4-s5->s3, y6-s6->s4, b7-s1, y1-s1->s2, g8-s2->s1, b1-s1, y3-s1, y0-s2, g0-s1, g1-s2, g7-s1, g3-s2, g2-s1, y2-s2, b9-s1, y4-s2, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, g5-s2->s7, 
225: y1-s1->s2, y7-s5->s1, y6-s6->s4, b7-s1, y3-s1, b1-s1, g0-s1, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, b6-s5, g8-s2->s1, g5-s2->s7, b8-s3->s5, y8-s4->s6, b4-s5->s3, y0-s2, g1-s2, g3-s2, y2-s2, y4-s2, 
226: b8-s3->s5, y8-s4->s6, b4-s5->s3, b6-s5, y6-s6->s4, b1-s1, g5-s7, b7-s1->s0, y1-s1->s2, g8-s2->s1, g0-s1, y3-s1, y0-s2, g7-s1, g1-s2, g2-s1, g3-s2, b9-s1, y2-s2, y9-s1, y4-s2, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, 
227: b7-s1->s0, y1-s1->s2, b8-s3->s5, y8-s4->s6, y6-s6->s4, g5-s7->s2, y3-s1, b1-s1, g8-s2->s1, b4-s5->s3, g0-s1, y0-s2, b6-s5, g7-s1, g1-s2, g2-s1, g3-s2, b9-s1, y2-s2, y9-s1, y4-s2, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, 
228: y1-s2, b8-s3->s5, y8-s4->s6, g5-s7->s2, y6-s6->s4, b1-s1, b7-s1->s0, y3-s1->s2, y0-s2->s1, g0-s1, g1-s2, g7-s1, g3-s2, g2-s1, y2-s2, b9-s1, y4-s2, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, b4-s5->s3, b6-s5, 
229: y6-s6->s4, b1-s1, y0-s2->s1, y1-s2->s4, b8-s3->s5, b4-s5->s3, g0-s1, g1-s2, b6-s5, g7-s1, g3-s2, g2-s1, y2-s2, b9-s1, y4-s2, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, b7-s0, y8-s6, y3-s1->s2, g5-s7->s2, 
230: b7-s0, b4-s3, b1-s1->s3, b6-s5->s3, g5-s7->s2, y8-s6, g0-s1, y1-s2->s4, y6-s6->s4, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y3-s1->s2, b8-s3->s5, y0-s2->s1, g1-s2, g3-s2, y2-s2, y4-s2, 
231: y1-s2->s4, b8-s3->s5, b6-s5->s3, g5-s7->s2, b7-s0, b4-s3, y8-s6, b1-s1->s3, y0-s2->s1, g1-s2, g3-s2, y2-s2, y4-s2, y6-s6->s4, g0-s1, y3-s1->s2, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, 
232: g5-s2, b4-s3, y8-s6, y3-s1->s2, b1-s1->s3, y0-s2->s1, y1-s2->s4, b8-s3->s5, b6-s5->s3, y6-s6->s4, b7-s0, g0-s1, g1-s2, g7-s1, g3-s2, g2-s1, y2-s2, b9-s1, y4-s2, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, 
233: y3-s1->s2, b7-s0, g5-s2, y1-s4, b8-s5, b1-s1->s3, y0-s2->s1, b4-s3->s1, b6-s5->s3, y6-s6->s4, g0-s1, g1-s2, y8-s6, g7-s1, g3-s2, g2-s1, y2-s2, b9-s1, y4-s2, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, 
234: b7-s0, y1-s4, b8-s5, y3-s1->s2, b1-s1->s3, y0-s2->s1, b4-s3->s1, b6-s5->s3, y8-s6->s4, g0-s1, y6-s4, g1-s2, g7-s1, g3-s2, g2-s1, y2-s2, b9-s1, y4-s2, y9-s1, g5-s2, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, 
235: y1-s4, b8-s5, g0-s1->s0, y3-s1->s2, b1-s1->s3, b6-s5->s3, b7-s0, g7-s1, y6-s4, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, b4-s3->s1, y8-s6->s4, y0-s2->s1, g1-s2, g3-s2, y2-s2, y4-s2, g5-s2, 
236: b6-s5->s3, g0-s1->s0, g1-s2->s1, g3-s2, y2-s2, y4-s2, g5-s2, b4-s3->s1, y1-s4, y6-s4, b7-s0, b8-s5, y8-s6->s4, g7-s1, y3-s2, b1-s3, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, 
237: b4-s3->s1, g7-s1, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b7-s0, y3-s2, b1-s3, y1-s4, b8-s5, g0-s1->s0, g1-s2->s1, b6-s5->s3, y8-s6->s4, y6-s4, g3-s2, y2-s2, y4-s2, g5-s2, 
238: b4-s3->s1, y8-s6->s4, g7-s1, b8-s5, g2-s1, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, g0-s0, y1-s4, b7-s0->s1, g1-s2->s1, b1-s3->s5, y6-s4, g3-s2, y2-s2, y4-s2, g5-s2, b6-s5->s3, y3-s2->s4, 
239: b1-s3->s5, y8-s6->s4, g0-s0, g7-s1, b6-s3, y1-s4, b7-s0->s1, y3-s2->s4, g2-s1, y6-s4, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b8-s5, g1-s2->s1, g3-s2, y2-s2, y4-s2, g5-s2, 
240: g7-s1->s2, b8-s5, g1-s2->s1, y3-s2->s4, b1-s3->s5, y1-s4->s6, y8-s6->s4, g2-s1, b6-s3, y6-s4, b7-s0->s1, g3-s2, b9-s1, y2-s2, y9-s1, y4-s2, y5-s1, g5-s2, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, g0-s0, 
241: y6-s4, y3-s2->s4, g0-s0, g7-s1->s2, b6-s3, y1-s4->s6, y8-s6->s4, b8-s5->s3, g2-s1, g1-s2->s1, b1-s3->s5, b9-s1, g3-s2, y9-s1, y2-s2, y5-s1, y4-s2, b3-s1, g5-s2, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, 
242: y6-s4, g7-s1->s2, g1-s2->s1, b6-s3->s1, b1-s3->s5, y1-s4->s6, b8-s5->s3, y8-s6->s4, g0-s0, g2-s1, y3-s4, g3-s2, b9-s1, y2-s2, y9-s1, y4-s2, y5-s1, g5-s2, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, 
243: y8-s6->s4, b8-s5->s3, g0-s0->s1, b9-s1, g2-s1->s0, g7-s1->s2, g1-s2->s1, b6-s3->s1, b1-s3->s5, y1-s4->s6, y9-s1, g3-s2, y5-s1, y2-s2, b3-s1, y4-s2, b5-s1, g5-s2, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, y6-s4, y3-s4, 
244: g0-s0->s1, g2-s1->s0, g3-s2->s1, b6-s3->s1, b1-s3->s5, y1-s4->s6, b8-s5->s3, y6-s4, y2-s2, y3-s4, y4-s2, y8-s4, g5-s2, g7-s1->s2, b9-s1, y9-s1, y5-s1, b3-s1, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, 
245: g0-s0->s1, g7-s1->s2, g3-s2->s1, b6-s3->s1, b1-s3->s5, y1-s4->s6, b8-s5->s3, y2-s2, y4-s2, g5-s2, y9-s1, y5-s1, y6-s4, g2-s1->s0, b3-s1, y3-s4, b9-s1, b5-s1, y8-s4, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, 
246: g2-s0, y6-s4, g7-s1->s2, g3-s2->s1, b6-s3->s1, b1-s3->s5, y1-s4->s6, b8-s5->s3, y5-s1, y3-s4, y2-s2, b3-s1, y8-s4, y4-s2, b5-s1, g5-s2, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b9-s1->s0, y9-s1->s5, 
247: b9-s1->s0, y6-s4->s2, b8-s5->s3, g2-s0, y1-s4->s6, y5-s1, y3-s4, b1-s5, g7-s1->s2, y9-s1->s5, g3-s2->s1, b6-s3->s1, b3-s1, y8-s4, y2-s2, b5-s1, y4-s2, b0-s1, g5-s2, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, 
248: g7-s2, y3-s4, y1-s4->s6, b8-s5->s3, y8-s4, b9-s1->s0, g2-s0, b1-s5, g3-s2->s1, y6-s4->s2, y5-s1, y9-s5, y2-s2, b3-s1, y4-s2, b5-s1, g5-s2, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, 
249: g3-s2->s1, y6-s4->s2, b8-s5->s3, g2-s0, b3-s1, y2-s2, b9-s0, b5-s1, y4-s2, b0-s1, g5-s2, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, b1-s5, y3-s4, y9-s5, y8-s4, y5-s1->s2, y1-s4->s6, g7-s2, 
250: b8-s3, y3-s4, b1-s5, y1-s6, y5-s1->s2, g3-s2->s1, g7-s2->s7, y6-s4->s2, g2-s0, b3-s1, y8-s4, y9-s5, y2-s2, b9-s0, b5-s1, y4-s2, b0-s1, g5-s2, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, 
251: y6-s2, b8-s3, y3-s4, y1-s6, y5-s1->s2, g2-s0, b3-s1, y8-s4, b9-s0, b5-s1, b0-s1, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, y9-s5, g3-s2->s1, g7-s2->s7, b1-s5->s3, y2-s2, y4-s2, g5-s2, 
252: y1-s6->s4, g2-s0, b9-s0, b3-s1, y6-s2, b8-s3, y3-s4, y9-s5, y5-s1->s2, y2-s2->s1, g7-s2->s7, b1-s5->s3, b5-s1, y8-s4, y4-s2, b0-s1, g5-s2, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, 
253: g2-s0, y2-s2->s1, b8-s3->s1, b1-s5->s3, y1-s6->s4, b9-s0, b3-s1, y4-s2, b5-s1, g5-s2, b0-s1, y6-s2, g4-s1, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, y9-s5, y8-s4, g7-s2->s7, y3-s4->s6, y5-s1->s2, 
254: g2-s0->s1, b9-s0, y9-s5, y5-s1->s2, b3-s1->s3, y2-s2->s1, g7-s2->s7, b8-s3->s1, y3-s4->s6, b1-s5->s3, b5-s1, y8-s4, y4-s2, b0-s1, g5-s2, g4-s1, y6-s2, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, y1-s6->s4, 
255: b8-s3->s1, b9-s0, y3-s4->s6, b1-s5->s3, y1-s6->s4, b5-s1, y9-s5, g7-s7, y5-s1->s2, b3-s1->s3, y2-s2->s1, b0-s1, y4-s2, g4-s1, g5-s2, g9-s1, y6-s2, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, y8-s4, g2-s0->s1, 
256: g2-s0->s1, y5-s1->s2, y2-s2->s1, b8-s3->s1, y8-s4->s2, y3-s4->s6, y1-s6->s4, g7-s7->s2, b9-s0, b0-s1, y4-s2, g4-s1, g5-s2, g9-s1, y6-s2, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, y9-s5, b1-s5->s3, b3-s1->s3, b5-s1, 
257: y2-s2->s1, y3-s4->s6, b1-s5->s3, b0-s1->s0, b3-s1->s3, y4-s2, b5-s1, g5-s2, y6-s2, b9-s0, b8-s3->s1, y8-s4->s2, y1-s6->s4, g7-s7->s2, g4-s1, y5-s2, y9-s5, g9-s1, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, 
258: g7-s7->s2, b9-s0, g4-s1, y5-s2, y2-s2->s1, b8-s3->s1, y8-s4->s2, y3-s4->s6, y9-s5->s1, b1-s5->s3, g9-s1, y4-s2, g6-s1, g5-s2, b2-s1, y6-s2, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b0-s1->s0, y1-s6->s4, b3-s1->s3, b5-s1, 
259: y5-s2->s4, y3-s4->s6, g7-s7->s2, b9-s0, y9-s5->s1, b3-s1->s3, b5-s1, y1-s6->s4, y2-s2->s1, y8-s4->s2, g4-s1, b0-s1->s0, y4-s2, g9-s1, g5-s2, g6-s1, y6-s2, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b8-s1, b1-s5->s3, 
260: y8-s2, b3-s1->s3, y2-s2->s1, y3-s4->s6, g7-s7->s2, b9-s0, g4-s1, b5-s1, y4-s2, b0-s0, g9-s1, g5-s2, g6-s1, y6-s2, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b8-s1, y9-s1, y1-s6->s4, b1-s3, y5-s2->s4, 
261: y3-s4->s6, y1-s6->s4, b9-s0, g9-s1, b1-s3, g4-s1->s0, b5-s1->s3, y2-s2->s1, y5-s2->s4, b0-s0, g6-s1, b3-s3, y4-s2, b2-s1, g5-s2, y7-s1, y6-s2, g8-s1, y8-s2, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b8-s1, y9-s1, g7-s2, 
262: b3-s3, g4-s1->s0, b5-s1->s3, y4-s2->s1, y5-s2->s4, b1-s3->s1, g9-s1, g5-s2, g6-s1, y6-s2, b2-s1, y8-s2, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b8-s1, y9-s1, y2-s1, g7-s2, y1-s4, b9-s0, y3-s4->s6, b0-s0, 
263: b1-s3->s1, g9-s1, b3-s3, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b8-s1, y9-s1, y2-s1, y3-s6, b5-s1->s3, b0-s0, y4-s2->s1, y1-s4, b9-s0->s1, g4-s1->s0, g5-s2, y5-s4, y6-s2, y8-s2, g7-s2, 
264: b1-s3->s1, b3-s3->s5, y3-s6->s4, b0-s0, g9-s1, b9-s0->s1, y4-s2->s1, g4-s0, g6-s1, g5-s2, b2-s1, y6-s2, y7-s1, y8-s2, g8-s1, g7-s2, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b8-s1, y9-s1, y2-s1, y1-s4, y5-s4, b5-s1->s3, 
265: y4-s2->s1, b1-s3->s1, b3-s3->s5, b5-s1->s3, g5-s2, y6-s2, y8-s2, g7-s2, b0-s0, g4-s0, y3-s6->s4, g9-s1, y1-s4, b9-s0->s1, g6-s1, y5-s4, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b8-s1, y9-s1, y2-s1, 
266: b1-s3->s1, b3-s3->s5, b0-s0, g4-s0, y1-s4, y5-s4, b5-s1->s3, g9-s1->s2, y3-s6->s4, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b8-s1, y9-s1, y2-s1, b9-s1, y4-s2->s1, g5-s2, y6-s2, y8-s2, g7-s2, 
267: b1-s3->s1, b5-s3, y3-s6->s4, g9-s1->s2, y1-s4->s2, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b8-s1, y9-s1, y2-s1, b9-s1, b0-s0, y5-s4, y4-s2->s1, b3-s3->s5, g4-s0, g5-s2, y6-s2, y8-s2, g7-s2, 
268: b3-s3->s5, g4-s0, y5-s4, b0-s0->s1, b5-s3, g9-s1->s2, y1-s4->s2, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b8-s1, y9-s1, y2-s1, b9-s1, b1-s1, y3-s6->s4, y4-s2->s1, g5-s2, y6-s2, y8-s2, g7-s2, 
269: b3-s3->s5, y1-s4->s2, g4-s0, b0-s0->s1, g9-s1->s2, y4-s2->s1, b5-s3, g5-s2, y6-s2, y8-s2, g7-s2, y3-s6->s4, y5-s4->s6, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b8-s1, y9-s1, y2-s1, b9-s1, b1-s1, 
270: b0-s0->s1, g9-s1->s2, g5-s2->s1, b3-s3->s5, y1-s4->s2, y5-s4->s6, y3-s6->s4, g4-s0, y6-s2, b5-s3, y8-s2, g7-s2, g6-s1, b2-s1, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b8-s1, y9-s1, y2-s1, b9-s1, b1-s1, y4-s1, 
271: g6-s1->s0, g5-s2->s1, b3-s3->s5, y5-s4->s6, g4-s0, y6-s2, b5-s3, y8-s2, g7-s2, y1-s2, y3-s6->s4, b2-s1, g9-s1->s2, y7-s1, g8-s1, y0-s1, b4-s1, b7-s1, g1-s1, g0-s1, b6-s1, g3-s1, g2-s1, b8-s1, y9-s1, y2-s1, b9-s1, b1-s1, y4-s1, b0-s1, 
